method,batch_size,lr,wd,momentum,final_test_acc,final_train_loss,best_test_acc,final_test_loss
SGDM,128,0.005,0.0001,0.9,73.13,0.00722979049384594,73.14,1.330070984840393
SGDM,128,0.005,0.0002,0.9,73.02,0.008050961711406708,73.24,1.2748643144607543
SGDM,128,0.005,0.0005,0.9,73.45,0.010350070324540139,73.67,1.131790411567688
SGDM,128,0.005,0.001,0.9,74.27,0.014094824870824814,74.29,1.0179659978866578
SGDM,128,0.005,0.002,0.9,75.54,0.021285389431715013,75.74,0.9688207187652588
SGDM,128,0.005,0.005,0.9,77.2,0.05349655087947845,77.45,0.9067869329452515
SGDM,128,0.005,0.01,0.9,77.28,0.10733463280200958,77.48,0.9130601690292358
SGDM,128,0.01,0.0001,0.9,73.53,0.005342112388312816,73.61,1.3140327663421631
SGDM,128,0.01,0.0002,0.9,73.93,0.006296361305415631,74.04,1.1957787810325622
SGDM,128,0.01,0.0005,0.9,75.1,0.009694323761463165,75.28,1.0121553115844726
SGDM,128,0.01,0.001,0.9,76.14,0.012980621458292008,76.49,0.9551606149673462
SGDM,128,0.01,0.002,0.9,76.92,0.024613453480005265,77.1,0.9293451932907104
SGDM,128,0.01,0.005,0.9,77.28,0.057322265877723697,77.51,0.9037818817138672
SGDM,128,0.01,0.01,0.9,77.3,0.128161006398201,77.57,0.8970463916778565
SGDM,128,0.02,0.0001,0.9,73.56,0.004375065212249756,73.77,1.284853062438965
SGDM,128,0.02,0.0002,0.9,74.39,0.005781818590313196,74.43,1.1183962898254394
SGDM,128,0.02,0.0005,0.9,75.9,0.008943132553696633,76.09,0.9649736902236938
SGDM,128,0.02,0.001,0.9,76.84,0.014863121052980424,76.94,0.9217895778656006
SGDM,128,0.02,0.002,0.9,78.1,0.026475304871797563,78.2,0.881463718700409
SGDM,128,0.02,0.005,0.9,77.95,0.07126241387844086,77.95,0.8608678419113159
SGDM,128,0.02,0.01,0.9,76.69,0.21676873192787172,76.76,0.9050751817703248
SGDM,128,0.05,0.0001,0.9,74.53,0.003905028567314148,74.53,1.2013539103507995
SGDM,128,0.05,0.0002,0.9,74.96,0.0055681157064437865,75.05,1.0432257835388183
SGDM,128,0.05,0.0005,0.9,76.6,0.009765321654081345,76.6,0.9149295916557312
SGDM,128,0.05,0.001,0.9,78.37,0.016759691368341444,78.56,0.8711513906478882
SGDM,128,0.05,0.002,0.9,77.92,0.03370840034604072,78.02,0.8709683279037476
SGDM,128,0.05,0.005,0.9,75.55,0.22179046243667602,75.69,0.9084140344619751
SGDM,128,0.05,0.01,0.9,68.61,0.8931385684204102,68.83,1.1450317321777344
SGDM,128,0.1,0.0001,0.9,72.75,0.004826350873112679,72.79,1.2561655229568482
SGDM,128,0.1,0.0002,0.9,75.43,0.006115499661266803,75.54,1.019992240524292
SGDM,128,0.1,0.0005,0.9,77.31,0.011202979490160941,77.45,0.9093513875961303
SGDM,128,0.1,0.001,0.9,76.97,0.021525246111154556,76.97,0.9200999201774597
SGDM,128,0.1,0.002,0.9,76.3,0.06448243374586106,76.3,0.9316793598175049
SGDM,128,0.1,0.005,0.9,68.0,0.8373217379760742,68.0,1.1310919340133667
SGDM,128,0.1,0.01,0.9,47.11,2.0629009046936035,47.11,2.0032843221664427
SGDM,128,0.2,0.0001,0.9,73.77,0.0051659230111539365,73.83,1.1741289888381958
SGDM,128,0.2,0.0002,0.9,75.45,0.007646483302414417,75.56,1.0367348501205444
SGDM,128,0.2,0.0005,0.9,76.38,0.01510551042586565,76.38,0.9376681827545166
SGDM,128,0.2,0.001,0.9,75.24,0.048265254657268525,75.24,0.9526340761184693
SGDM,128,0.2,0.002,0.9,71.08,0.3251362955379486,71.19,1.061026908493042
SGDM,128,0.2,0.005,0.9,35.37,2.5601444743347166,35.37,2.5471436279296875
SGDM,128,0.2,0.01,0.9,1.0,4.60546875,4.27,4.605170094299316
SGDM,128,0.3,0.0001,0.9,75.36,0.00474900208696723,75.43,1.0965870743751527
SGDM,128,0.3,0.0002,0.9,75.87,0.007135163688957691,76.1,1.018038547515869
SGDM,128,0.3,0.0005,0.9,75.27,0.02120638007760048,75.36,0.9962263672828674
SGDM,128,0.3,0.001,0.9,73.23,0.11141408565521241,73.23,1.0108218278884888
SGDM,128,0.3,0.002,0.9,63.33,0.884283791732788,63.33,1.2985861431121826
SGDM,128,0.3,0.005,0.9,19.91,3.34525795791626,19.91,3.2948455249786375
SGDM,128,0.3,0.01,0.9,2.63,4.415122578277588,3.01,4.4074145027160645
SGDM,128,0.5,0.0001,0.9,76.05,0.005148749489784241,76.3,1.0918174295425416
SGDM,128,0.5,0.0002,0.9,75.77,0.008837315437942743,76.0,1.0456752955436706
SGDM,128,0.5,0.0005,0.9,74.62,0.08661636420488357,74.62,1.0021456201553345
SGDM,128,0.5,0.001,0.9,68.6,0.6561092116165161,68.6,1.093512258529663
SGDM,128,0.5,0.002,0.9,32.28,2.7023422118377685,32.28,2.6667723373413086
SGDM,128,0.5,0.005,0.9,1.0,4.605261562805175,2.83,4.605170504760742
SGDM,128,0.5,0.01,0.9,1.0,4.605377500305176,1.78,4.605170466613769
