method,batch_size,lr,wd,momentum,final_test_acc,final_train_loss,best_test_acc
SGD,128,0.001,0,0,42.56,2.036601236000061,42.71
SGD,128,0.005,0,0,64.49,0.33419778882980344,64.57
SGD,128,0.01,0,0,68.38,0.06523834046840668,68.45
SGD,128,0.05,0,0,72.48,0.0067696701022982595,72.48
SGD,128,0.1,0,0,72.95,0.004464712455123663,73.09
SGD,128,0.5,0,0,71.28,0.002629500746577978,71.47
SGD,128,1.0,0,0,66.04,0.0034853525805473326,66.27
SGD,128,2.0,0,0,66.14,0.003099910683594644,66.37
SGD+WD,128,0.001,0.0005,0,42.59,2.027560403137207,42.77
SGD+WD,128,0.005,0.0005,0,64.4,0.32080733454704286,64.64
SGD+WD,128,0.01,0.0005,0,68.52,0.06356592506408691,68.65
SGD+WD,128,0.05,0.0005,0,74.09,0.011020984642803669,74.23
SGD+WD,128,0.1,0.0005,0,75.25,0.009880930225849151,75.31
SGD+WD,128,0.5,0.0005,0,76.16,0.010424731740355492,76.28
SGD+WD,128,1.0,0.0005,0,75.45,0.012208296210169792,75.56
SGD+WD,128,2.0,0.0005,0,76.85,0.013705323309600352,76.9
SGDM+WD,128,0.001,0.0005,0.9,68.04,0.06195541556239128,68.45
SGDM+WD,128,0.005,0.0005,0.9,73.73,0.01058535572052002,73.92
SGDM+WD,128,0.01,0.0005,0.9,74.76,0.009665251005291938,75.01
SGDM+WD,128,0.05,0.0005,0.9,77.06,0.009800311098694801,77.19
SGDM+WD,128,0.1,0.0005,0.9,76.83,0.011004624311327935,77.13
SGDM+WD,128,0.5,0.0005,0.9,72.52,0.07685347007274627,72.87
SGDM+WD,128,1.0,0.0005,0.9,59.13,1.1737395221328735,59.13
SGDM+WD,128,2.0,0.0005,0.9,1.0,4.605006015777588,4.33
SGDM,128,0.01,0.0001,0.9,73.54,0.005055926639735699,73.7
SGDM,128,0.01,0.0002,0.9,74.11,0.006466489672809839,74.3
SGDM,128,0.01,0.0005,0.9,74.76,0.009665251005291938,75.01
SGDM,128,0.01,0.001,0.9,75.74,0.012910993943810463,75.82
SGDM,128,0.01,0.002,0.9,76.63,0.024782916671037675,76.75
