method,batch_size,lr,wd,momentum,final_test_acc,final_train_loss,best_test_acc
SGD,128,0.001,0,0,55.15,0.9371669314956665,55.38
SGD,128,0.005,0,0,61.67,0.024601460156440734,61.73
SGD,128,0.01,0,0,64.61,0.008469040314555169,64.82
SGD,128,0.05,0,0,68.29,0.0030723086167871953,68.38
SGD,128,0.1,0,0,69.39,0.003638629655763507,69.58
SGD,128,0.5,0,0,67.48,0.02025688927859068,67.6
SGD,128,1.0,0,0,65.03,0.049567314744591716,65.28
SGD,128,2.0,0,0,63.42,0.0831520003938675,63.63
SGD+WD,128,0.001,0.0005,0,55.12,0.9264122094345093,55.33
SGD+WD,128,0.005,0.0005,0,62.53,0.02534236144721508,62.78
SGD+WD,128,0.01,0.0005,0,65.34,0.009665165917873383,65.39
SGD+WD,128,0.05,0.0005,0,70.45,0.005662021727859974,70.54
SGD+WD,128,0.1,0.0005,0,71.28,0.006106363932788372,71.57
SGD+WD,128,0.5,0.0005,0,72.8,0.011801409372985364,72.9
SGD+WD,128,1.0,0.0005,0,72.5,0.017882216651439665,72.63
SGD+WD,128,2.0,0.0005,0,72.32,0.04494193269252777,72.39
SGDM+WD,128,0.001,0.0005,0.9,65.19,0.009686261885464191,65.36
SGDM+WD,128,0.005,0.0005,0.9,70.91,0.005512318610846997,71.0
SGDM+WD,128,0.01,0.0005,0.9,71.46,0.005994981269538403,71.49
SGDM+WD,128,0.05,0.0005,0.9,73.12,0.011732249665558338,73.2
SGDM+WD,128,0.1,0.0005,0.9,72.85,0.019506000375747682,72.91
SGDM+WD,128,0.5,0.0005,0.9,66.17,0.5011539741134644,66.17
SGDM+WD,128,1.0,0.0005,0.9,1.0,nan,3.04
SGDM+WD,128,2.0,0.0005,0.9,1.0,4.605195937805176,1.27
