model,dataset,method,batch_size,lr,wd,momentum,epochs,scheduler,seed,wd_sched,exp,sum_lr,best_test_acc,final_test_acc,final_train_loss,final_train_acc,final_test_loss,diverged,epochs_run,wall_time
resnet18,cifar100,SGDM+WD,128,0.5,0.00015,0.9,100,cosine,42,,e2b,9872.749999999995,75.97,75.97,0.0065393496106565,99.948,1.0648671722412109,0,100,2030.0
resnet18,cifar100,SGDM+WD,128,0.01,0.007499999999999999,0.9,100,cosine,42,,e2b,197.4550000000001,77.4,77.28,0.08905031398296356,99.79,0.8969105548858642,0,100,2032.4
resnet18,cifar100,SGDM+WD,128,0.02,0.0037499999999999994,0.9,100,cosine,42,,e2b,394.9100000000002,78.24,78.24,0.05009357207536697,99.848,0.8642314233779907,0,100,2032.0
resnet18,cifar100,SGDM+WD,128,0.005,0.014999999999999998,0.9,100,cosine,42,,e2b,98.72750000000005,77.24,77.24,0.18178370346069336,99.642,0.9318976053237915,0,100,2034.8
resnet18,cifar100,SGDM+WD,128,0.01,0.0225,0.9,100,cosine,42,,e2b,197.4550000000001,74.68,74.35,0.5222445196342468,93.706,1.040092572593689,0,100,2035.8
resnet18,cifar100,SGDM+WD,128,0.2,0.00037499999999999995,0.9,100,cosine,42,,e2b,3949.1000000000017,76.01,76.01,0.010930485417544841,99.948,0.9718029420852661,0,100,2038.2
resnet18,cifar100,SGDM+WD,128,0.005,0.045,0.9,100,cosine,42,,e2b,98.72750000000005,65.9,65.65,1.2628606224822998,79.268,1.56456921710968,0,100,2099.8
resnet18,cifar100,SGDM+WD,128,0.02,0.01125,0.9,100,cosine,42,,e2b,394.9100000000002,76.19,76.15,0.27636900305747986,96.818,0.9242950819015503,0,100,2099.6
resnet18,cifar100,SGDM+WD,128,0.1,0.0007499999999999999,0.9,100,cosine,42,,e2b,1974.5500000000009,76.68,76.68,0.01623043120652437,99.944,0.9088183541297913,0,100,2100.9
resnet18,cifar100,SGDM+WD,128,0.1,0.00225,0.9,100,cosine,42,,e2b,1974.5500000000009,75.5,75.28,0.08351998510837555,99.174,0.9526737803459168,0,100,1138.6
resnet18,cifar100,SGDM+WD,128,0.05,0.0045,0.9,100,cosine,42,,e2b,987.2750000000004,75.93,75.83,0.1781963690328598,97.332,0.8985828662872315,0,100,1968.8
resnet18,cifar100,SGDM+WD,128,0.2,0.001125,0.9,100,cosine,42,,e2b,3949.1000000000017,75.04,75.04,0.059276824584007265,99.384,0.9645942716598511,0,100,1977.2
resnet18,cifar100,SGDM+WD,128,0.5,0.00045,0.9,100,cosine,42,,e2b,9872.749999999995,73.54,73.48,0.048973406754732135,99.32,1.0705036293029786,0,100,1976.5
resnet18,cifar100,SGD+WD,128,20.0,0.001,0.0,15,const,42,fixed,e3,7820.0,1.0,1.0,nan,1.004,nan,1,1,57.8
resnet18,cifar100,SGD,128,20.0,0.0,0.0,15,const,42,fixed,e3,7820.0,1.0,1.0,nan,1.002,nan,1,1,58.4
resnet18,cifar100,SGD,128,0.2,0.0,0.0,15,const,42,fixed,e3,1173.0000000000002,60.63,58.04,0.7914752265548706,75.49,1.674914478302002,0,15,392.2
resnet18,cifar100,SGD,128,0.05,0.0,0.0,15,const,42,fixed,e3,293.25000000000006,57.84,55.48,0.873431355419159,73.604,1.7853616678237916,0,15,393.0
resnet18,cifar100,SGD+WD,128,0.05,0.001,0.0,15,const,42,fixed,e3,293.25000000000006,57.48,52.91,0.922595115070343,72.642,1.9028338525772095,0,15,393.9
resnet18,cifar100,SGD,128,0.8,0.0,0.0,15,const,42,fixed,e3,4692.000000000001,55.67,53.52,1.0267702047538758,69.228,1.9450642471313477,0,15,405.6
resnet18,cifar100,SGD+WD,128,0.8,0.001,0.0,15,const,42,fixed,e3,4692.000000000001,44.52,32.81,1.6338667150878907,54.43,3.2384860343933104,0,15,403.5
resnet18,cifar100,SGD,128,10.0,0.0,0.0,15,const,42,fixed,e3,58650.0,33.64,33.64,2.510095740890503,34.622,2.6260589515686035,0,15,404.2
resnet18,cifar100,SGD+WD,128,0.2,0.001,0.0,15,const,42,fixed,e3,1173.0000000000002,56.91,53.1,0.99273182056427,70.858,1.798630202293396,0,15,404.3
resnet18,cifar100,SGD+WD,128,3.0,0.001,0.0,15,const,42,fixed,e3,17595.0,20.4,11.69,2.782208710784912,29.154,5.7207609558105466,0,15,405.7
resnet18,cifar100,SGD,128,3.0,0.0,0.0,15,const,42,fixed,e3,17595.0,45.12,45.12,1.7682145529174804,51.19,2.1770805755615235,0,15,407.7
resnet18,cifar100,SGD+WD,128,10.0,0.001,0.0,15,const,42,fixed,e3,58650.0,2.16,1.0,4.624239765625,0.95,4.6268990234375,0,15,408.0
resnet18,cifar100,SGD+WD,128,0.05,0.01,0.0,15,const,42,fixed,e3,293.25000000000006,45.91,42.24,1.4897565267944335,60.77,2.3149666748046873,0,15,374.4
resnet18,cifar100,SGD+WD,128,0.2,0.01,0.0,15,const,42,fixed,e3,1173.0000000000002,26.61,21.77,2.1402262704086303,44.156,3.768672561645508,0,15,383.1
resnet18,cifar100,SGD+WD,128,20.0,0.01,0.0,15,const,42,fixed,e3,7820.0,1.0,1.0,nan,1.004,nan,1,1,57.3
resnet18,cifar100,SGD+WD,128,20.0,0.05,0.0,15,const,42,fixed,e3,7820.0,1.0,1.0,nan,1.002,nan,1,1,55.9
resnet18,cifar100,SGD+WD,128,3.0,0.01,0.0,15,const,42,fixed,e3,17595.0,1.0,1.0,4.6085313282775875,0.974,4.608591209411621,0,15,380.1
resnet18,cifar100,SGD+WD,128,0.8,0.01,0.0,15,const,42,fixed,e3,4692.000000000001,6.69,4.7,3.834940498123169,10.134,5.425819815063477,0,15,382.2
resnet18,cifar100,SGD+WD,128,10.0,0.01,0.0,15,const,42,fixed,e3,58650.0,1.0,1.0,4.6162058984375,0.96,4.618532989501953,0,15,380.3
