model,dataset,method,batch_size,lr,wd,momentum,epochs,scheduler,seed,wd_sched,exp,sum_lr,best_test_acc,final_test_acc,final_train_loss,final_train_acc,final_test_loss,diverged,epochs_run,wall_time
vgg13,cifar100,SGD+WD,128,0.1,0.05095,0.0,100,cosine,42,linear_up,e12_matched,1974.55,76.08,75.97,0.6379163233757019,95.468,1.2280120780944823,0,100,1049.3
vgg13,cifar100,SGD+WD,128,0.1,0.02126,0.0,100,cosine,42,linear,e12_matched,1974.55,74.94,74.82,0.0365563418877124,99.802,1.0127951964378357,0,100,998.0
vgg13,cifar100,SGD+WD,128,0.1,0.008713,0.0,100,cosine,42,iso_product,e12_matched,1974.55,71.25,71.15,1.6559682872772217,82.376,1.864301773071289,0,100,1013.8
vgg13,cifar100,SGD+WD,128,0.1,0.03189,0.0,100,cosine,42,linear,e12_matched,1974.55,74.52,74.37,0.0595141764402389,99.59,1.0139638478279114,0,100,1006.6
vgg13,cifar100,SGD+WD,128,0.1,0.07643,0.0,100,cosine,42,linear_up,e12_matched,1974.55,70.78,70.78,1.2618819635772704,84.516,1.5958193519592283,0,100,1037.9
vgg13,cifar100,SGD+WD,128,0.1,0.01307,0.0,100,cosine,42,iso_product,e12_matched,1974.55,43.23,27.83,3.715471054611206,28.51,3.669259666824341,0,100,975.6
vgg13,cifar100,SGD+WD,128,0.1,0.1019,0.0,100,cosine,42,linear_up,e12_matched,1974.55,59.46,59.33,2.0573047229003905,65.92,2.1838697944641114,0,100,981.9
vgg13,cifar100,SGD+WD,128,0.1,0.04252,0.0,100,cosine,42,linear,e12_matched,1974.55,74.1,74.1,0.1231742309975624,98.424,1.0221845972061157,0,100,1044.7
vgg13,cifar100,SGD+WD,128,0.1,0.01743,0.0,100,cosine,42,iso_product,e12_matched,1974.55,35.57,1.92,4.60546875,1.864,4.605150045013428,0,100,1045.3
vgg13,cifar100,SGD+WD,128,0.1,0.1529,0.0,100,cosine,42,linear_up,e12_matched,1974.55,40.79,16.41,4.0892134375,16.402,4.049446975708007,0,100,978.4
vgg13,cifar100,SGD+WD,128,0.1,0.06378,0.0,100,cosine,42,linear,e12_matched,1974.55,34.46,34.46,2.498726304931641,34.176,2.495490351867676,0,100,970.7
vgg13,cifar100,SGD+WD,128,0.1,0.02614,0.0,100,cosine,42,iso_product,e12_matched,1974.55,26.94,1.0,4.60546875,1.0,4.605170475769043,0,100,1036.6
vgg13,cifar100,SGD+WD,128,0.1,0.2293,0.0,100,cosine,42,linear_up,e12_matched,1974.55,36.6,1.0,4.60546875,1.0,4.60517028579712,0,100,1048.0
vgg13,cifar100,SGD+WD,128,0.1,0.09566,0.0,100,cosine,42,linear,e12_matched,1974.55,4.43,1.0,4.60546875,1.0,4.605170301818848,0,100,972.2
vgg13,cifar100,SGD+WD,128,0.1,0.03921,0.0,100,cosine,42,iso_product,e12_matched,1974.55,16.83,1.0,4.60546875,0.974,4.6051700477600095,0,100,997.7
vgg13,cifar100,SGD+WD,128,0.1,0.3821,0.0,100,cosine,42,linear_up,e12_matched,1974.55,27.64,1.0,4.60546875,1.0,4.605170121765137,0,100,989.4
vgg13,cifar100,SGD+WD,128,0.1,0.1594,0.0,100,cosine,42,linear,e12_matched,1974.55,1.0,1.0,4.60546875,1.0,4.60517034072876,0,100,974.3
vgg13,cifar100,SGD+WD,128,0.1,0.06535,0.0,100,cosine,42,iso_product,e12_matched,1974.55,6.18,1.0,4.60546875,1.0,4.605169942474365,0,100,579.5
resnet34,cifar100,SGD+WD,128,0.1,0.001,0.0,100,cosine,42,fixed,e12_fixed,1974.5500000000009,76.51,76.41,0.008791022259593,99.98,0.9368787692070008,0,100,1388.5
resnet34,cifar100,SGD+WD,128,0.1,0.003,0.0,100,cosine,42,fixed,e12_fixed,1974.5500000000009,78.53,78.45,0.0267823154246807,99.96,0.8803919361114502,0,100,1393.7
resnet34,cifar100,SGD+WD,128,0.1,0.005,0.0,100,cosine,42,fixed,e12_fixed,1974.5500000000009,78.87,78.87,0.0389070531439781,99.922,0.881088187789917,0,100,1741.4
resnet34,cifar100,SGD+WD,128,0.1,0.002,0.0,100,cosine,42,fixed,e12_fixed,1974.5500000000009,77.55,77.39,0.018502946100831,99.98,0.917707595062256,0,100,1762.6
resnet34,cifar100,SGD+WD,128,0.1,0.0075,0.0,100,cosine,42,fixed,e12_fixed,1974.5500000000009,78.69,78.53,0.0598639580583572,99.894,0.8877514155387879,0,100,1541.8
resnet34,cifar100,SGD+WD,128,0.1,0.01,0.0,100,cosine,42,fixed,e12_fixed,1974.5500000000009,78.66,78.35,0.0859692086791992,99.784,0.8864000345230103,0,100,1565.7
resnet34,cifar100,SGD+WD,128,0.1,0.02,0.0,100,cosine,42,fixed,e12_fixed,1974.5500000000009,77.07,76.91,0.2402722628593444,98.566,0.9420206325531004,0,100,1578.5
resnet34,cifar100,SGDM+WD,128,0.1,0.0001,0.9,100,cosine,42,fixed,e12_fixed,1974.5500000000009,74.01,73.84,0.0029213041734695,99.966,1.1823758390426635,0,100,1588.0
