method,batch_size,lr,wd,momentum,final_test_acc,final_train_loss,best_test_acc
SGDM,128,0.3,5e-05,0.9,73.29,0.003159041233062744,73.4
SGDM,128,0.3,0.0001,0.9,75.36,0.00474900208696723,75.43
SGDM,128,0.3,0.0002,0.9,75.87,0.007135163688957691,76.1
SGDM,128,0.3,0.0005,0.9,75.27,0.02120638007760048,75.36
SGDM,128,0.3,0.001,0.9,73.23,0.11141408565521241,73.23
SGDM,128,0.3,0.002,0.9,63.33,0.884283791732788,63.33
SGDM,128,0.3,0.005,0.9,19.91,3.34525795791626,19.91
SGDM,128,0.5,1e-05,0.9,70.9,0.0023432397508621216,71.09
SGDM,128,0.5,5e-05,0.9,74.4,0.0038646950462460517,74.57
SGDM,128,0.5,0.0001,0.9,76.05,0.005148749489784241,76.3
SGDM,128,0.5,0.0002,0.9,75.77,0.008837315437942743,76.0
SGDM,128,0.5,0.0005,0.9,74.62,0.08661636420488357,74.62
SGDM,128,0.5,0.001,0.9,68.6,0.6561092116165161,68.6
SGDM,128,0.5,0.002,0.9,32.28,2.7023422118377685,32.28
SGDM,128,0.5,0.005,0.9,1.0,4.605261562805175,2.83
SGDM,32,0.025,5e-05,0.9,74.43,0.004907967395782471,74.64
SGDM,32,0.025,0.0001,0.9,75.11,0.0056135943675041195,75.32
SGDM,32,0.025,0.0002,0.9,76.37,0.008427955243587493,76.55
SGDM,32,0.025,0.0005,0.9,77.8,0.01573179490566254,77.8
SGDM,32,0.025,0.001,0.9,78.08,0.03132129240274429,78.17
SGDM,32,0.025,0.002,0.9,77.18,0.10118043260574341,77.32
SGDM,32,0.025,0.005,0.9,73.12,0.5394815112876892,73.36
SGDM,32,0.025,0.01,0.9,56.08,1.7134533388519286,56.08
SGDM,64,0.05,5e-05,0.9,74.13,0.003614188966751099,74.35
SGDM,64,0.05,0.0001,0.9,74.63,0.004670328912734985,74.76
SGDM,64,0.05,0.0002,0.9,75.97,0.006795989818572998,76.2
SGDM,64,0.05,0.0005,0.9,77.05,0.0122993745470047,77.17
SGDM,64,0.05,0.001,0.9,78.18,0.02309114094734192,78.52
SGDM,64,0.05,0.002,0.9,76.74,0.0659036063671112,76.85
SGDM,64,0.05,0.005,0.9,71.33,0.6498139223098754,71.33
SGDM,64,0.05,0.01,0.9,49.95,1.9538021403503418,49.95
SGDM,128,0.1,5e-05,0.9,72.79,0.0032983765841275454,72.99
SGDM,128,0.1,0.0001,0.9,72.75,0.004826350873112679,72.79
SGDM,128,0.1,0.0002,0.9,75.43,0.006115499661266803,75.54
SGDM,128,0.1,0.0005,0.9,77.31,0.011202979490160941,77.45
SGDM,128,0.1,0.001,0.9,76.97,0.021525246111154556,76.97
SGDM,128,0.1,0.002,0.9,76.3,0.06448243374586106,76.3
SGDM,128,0.1,0.005,0.9,68.0,0.8373217379760742,68.0
SGDM,128,0.1,0.01,0.9,47.11,2.0629009046936035,47.11
SGDM,256,0.2,5e-05,0.9,72.13,0.003279398715496063,72.34
SGDM,256,0.2,0.0001,0.9,72.36,0.004529062801003456,72.45
SGDM,256,0.2,0.0002,0.9,74.75,0.00585127920627594,74.9
SGDM,256,0.2,0.0005,0.9,77.24,0.010335672420859338,77.33
SGDM,256,0.2,0.001,0.9,77.07,0.02048685188293457,77.18
SGDM,256,0.2,0.002,0.9,74.63,0.07663342946052551,74.65
SGDM,256,0.2,0.005,0.9,63.84,1.0456799996948243,63.84
SGDM,256,0.2,0.01,0.9,24.31,3.1107600646972657,24.31
SGDM,512,0.4,5e-05,0.9,67.51,0.004193489936068654,67.52
SGDM,512,0.4,0.0001,0.9,70.72,0.004820174489170313,70.81
SGDM,512,0.4,0.0002,0.9,73.2,0.006491582937836647,73.32
SGDM,512,0.4,0.0005,0.9,75.14,0.010795544309616089,75.24
SGDM,512,0.4,0.001,0.9,75.36,0.021470663391947746,75.42
SGDM,512,0.4,0.002,0.9,73.91,0.09666383736848831,74.0
SGDM,512,0.4,0.005,0.9,53.1,1.6430542148971559,53.1
SGDM,512,0.4,0.01,0.9,1.0,4.60546875,4.32
