method,dataset,num_layers,hidden_dim,batch_size,lr,wd,momentum,epochs,seed,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_loss,best_test_acc,diverged,epochs_run
SGDM+WD,cifar10,3,512,128,0.01,0.003,0.9,30,42,0.29066163467407224,93.954,1.3852114318847657,57.71,1.2812508964538574,57.8,0,30
SGDM+WD,cifar10,3,512,128,0.1,0.0003,0.9,30,42,0.4467145945262909,85.486,1.692804875946045,54.6,1.529683960533142,54.6,0,30
SGDM+WD,cifar10,3,512,128,0.03,0.0001,0.9,30,42,0.01641948117554188,99.956,2.5632864681243896,56.37,1.3695698616027832,56.37,0,30
SGDM+WD,cifar10,3,512,128,0.003,0.01,0.9,30,42,0.8860675056266785,71.636,1.2447647535324096,56.13,1.2447647535324096,56.13,0,30
SGDM+WD,cifar10,3,512,128,0.01,0.01,0.9,30,42,0.8021137000274658,75.29,1.215179154396057,57.46,1.215179154396057,57.46,0,30
SGDM+WD,cifar10,3,512,128,0.003,0.0003,0.9,30,42,0.4103775088405609,89.322,1.4291413614273072,55.69,1.3115711362838745,55.82,0,30
SGDM+WD,cifar10,3,512,128,0.01,0.0003,0.9,30,42,0.06369433930158615,99.54,1.8948059944152833,57.09,1.3067270017623902,57.27,0,30
SGDM+WD,cifar10,3,512,128,1.0,0.0001,0.9,30,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,512,128,1.0,0.0003,0.9,30,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,512,128,0.3,0.03,0.9,30,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,512,128,0.003,0.001,0.9,30,42,0.45269038986206056,87.994,1.388424872970581,55.98,1.3087812273025512,55.98,0,30
SGDM+WD,cifar10,3,512,128,0.01,0.001,0.9,30,42,0.11574461783885956,98.734,1.6642582107543946,57.31,1.3128368825912475,57.4,0,30
SGDM+WD,cifar10,3,512,128,1.0,0.003,0.9,30,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,512,128,0.003,0.003,0.9,30,42,0.563507598657608,83.934,1.3069705139160157,56.31,1.2937463914871217,56.31,0,30
SGDM+WD,cifar10,3,512,128,1.0,0.01,0.9,30,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,512,128,1.0,0.03,0.9,30,42,nan,nan,nan,nan,nan,nan,1,1
SGDM+WD,cifar10,3,512,128,0.03,0.0003,0.9,30,42,0.025910606294870377,99.938,2.227663493347168,56.57,1.377273595046997,56.59,0,30
SGDM+WD,cifar10,3,512,128,0.1,0.001,0.9,30,42,0.49657201018333436,84.15,1.4212082876205445,56.12,1.3663416931152343,56.12,0,30
SGDM+WD,cifar10,3,512,128,0.03,0.01,0.9,30,42,0.9338326805496215,69.51,1.219814084815979,57.15,1.219814084815979,57.15,0,30
SGDM+WD,cifar10,3,512,128,0.003,0.0001,0.9,30,42,0.39780330834388733,89.792,1.44012107963562,55.92,1.3117263708114624,55.92,0,30
SGDM+WD,cifar10,3,512,128,0.01,0.03,0.9,30,42,1.3266193270492554,54.674,1.3913593555450439,52.07,1.3913593555450439,52.07,0,30
SGDM+WD,cifar10,3,512,128,0.03,0.003,0.9,30,42,0.3385248679161072,92.23,1.293601432800293,58.72,1.2743460929870605,58.93,0,30
SGDM+WD,cifar10,3,512,128,0.1,0.003,0.9,30,42,0.7804515661239624,74.042,1.255805303955078,56.67,1.255805303955078,56.67,0,30
SGDM+WD,cifar10,3,512,128,0.1,0.0001,0.9,30,42,0.5591834805297852,80.488,1.9120884727478027,52.16,1.702275322532654,52.16,0,30
SGDM+WD,cifar10,3,512,128,0.1,0.03,0.9,30,42,1.4084252780532838,51.29,1.4435655361175537,49.92,1.4435655361175537,49.92,0,30
SGDM+WD,cifar10,3,512,128,0.03,0.001,0.9,30,42,0.07915423562526702,99.452,1.6843282474517822,57.87,1.341786171913147,57.87,0,30
SGDM+WD,cifar10,3,512,128,0.01,0.0001,0.9,30,42,0.052863339819908144,99.62,1.984592795562744,57.19,1.3111626094818116,57.21,0,30
SGDM+WD,cifar10,3,512,128,0.1,0.01,0.9,30,42,1.107555737171173,62.342,1.2917936164855957,54.81,1.2917936164855957,54.81,0,30
SGDM+WD,cifar10,3,512,128,0.003,0.03,0.9,30,42,1.3293645101165772,54.44,1.3959805103302,51.74,1.3959805103302,51.76,0,30
SGDM+WD,cifar10,3,512,128,0.03,0.03,0.9,30,42,1.3604408939743042,53.182,1.412963912010193,51.09,1.412963912010193,51.16,0,30
SGDM+WD,cifar10,3,512,128,0.3,0.0001,0.9,30,42,2.3026160413360595,10.0,2.3025887378692627,10.0,2.3025887378692627,10.0,0,30
SGDM+WD,cifar10,3,512,128,0.3,0.01,0.9,30,42,2.302615510253906,10.0,2.302588721084595,10.0,2.1896143451690673,20.08,0,30
SGDM+WD,cifar10,3,512,128,1.0,0.001,0.9,30,42,2.30269986869812,9.964,2.302599368286133,10.0,2.302599368286133,10.0,0,30
SGDM+WD,cifar10,3,512,128,0.3,0.0003,0.9,30,42,1.3208008975982666,52.054,1.425507544898987,49.3,1.425507544898987,49.3,0,30
SGDM+WD,cifar10,3,512,128,0.3,0.003,0.9,30,42,1.0900399888801575,61.194,1.3351477918624879,52.98,1.3351477918624879,52.98,0,30
SGDM+WD,cifar10,3,512,128,0.3,0.001,0.9,30,42,0.9256487266159058,67.64,1.3248544822692871,54.05,1.3248544822692871,54.05,0,30
