method,dataset,num_layers,hidden_dim,batch_size,lr,wd,momentum,epochs,seed,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_loss,best_test_acc,diverged,epochs_run
SGDM+WD,cifar10,3,512,128,1.5,0.0001,0.5,30,42,2.30261948097229,10.0,2.3025900230407714,10.0,2.3025900230407714,11.67,0,30
SGDM+WD,cifar10,3,512,128,3.0,0.0001,0.5,30,42,2.3026565917205812,9.93,2.3025950897216796,10.0,2.3025950897216796,10.0,0,30
SGDM+WD,cifar10,3,512,128,10.0,0.0001,0.5,30,42,2.3028019941711424,9.948,2.3026137447357176,10.0,2.3026137447357176,10.0,0,30
SGDM+WD,cifar10,3,512,128,0.5,0.0001,0.5,30,42,0.5439285640621185,80.714,2.0130833251953124,51.11,1.7538336837768556,51.12,0,30
SGDM+WD,cifar10,3,512,128,0.2,0.001,0.5,30,42,0.09432769278764724,99.304,1.6111816278457642,58.28,1.3928228576660155,58.32,0,30
SGDM+WD,cifar10,3,512,128,0.7,0.0003,0.5,30,42,0.6743122941589356,76.438,1.5676943002700805,53.3,1.5114614805221558,53.4,0,30
SGDM+WD,cifar10,3,512,128,3.0,0.0003,0.5,30,42,1.091846865119934,61.268,1.3611490222930909,53.01,1.3611490222930909,53.01,0,30
SGDM+WD,cifar10,3,512,128,0.5,0.0003,0.5,30,42,0.39777696435928345,87.246,1.7471781940460205,53.96,1.5570561822891236,54.19,0,30
SGDM+WD,cifar10,3,512,128,2.0,0.0003,0.5,30,42,1.1786910749816895,57.544,1.454596661758423,49.49,1.454596661758423,49.49,0,30
SGDM+WD,cifar10,3,512,128,2.0,0.001,0.5,30,42,2.302631378250122,10.0,2.3025916984558106,10.0,2.3025916984558106,10.01,0,30
SGDM+WD,cifar10,3,512,128,0.7,0.003,0.5,30,42,0.9182295237541199,68.664,1.262169746208191,55.84,1.262169746208191,55.84,0,30
SGDM+WD,cifar10,3,512,128,0.2,0.003,0.5,30,42,0.5178575434970856,85.858,1.2080713680267334,58.94,1.2072119623184203,59.13,0,30
SGDM+WD,cifar10,3,512,128,0.5,0.003,0.5,30,42,0.8392671928787231,72.118,1.2374423446655274,56.83,1.2374423446655274,56.83,0,30
SGDM+WD,cifar10,3,512,128,0.7,0.001,0.5,30,42,0.6964932755470276,76.23,1.3400153230667113,55.78,1.3370906368255615,55.78,0,30
SGDM+WD,cifar10,3,512,128,0.2,0.01,0.5,30,42,1.0657979132270814,64.548,1.255771643257141,56.03,1.255771643257141,56.03,0,30
SGDM+WD,cifar10,3,512,128,1.5,0.001,0.5,30,42,2.302619401550293,10.0,2.302589990234375,10.0,2.2999222873687746,13.92,0,30
SGDM+WD,cifar10,3,512,128,0.5,0.001,0.5,30,42,0.49286024346351626,84.482,1.3882974246978759,56.42,1.358957247543335,56.42,0,30
