method,dataset,num_layers,hidden_dim,batch_size,lr,wd,momentum,epochs,seed,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_loss,best_test_acc,diverged,epochs_run
SGD+WD,cifar10,3,512,128,1.0,0.001,0.0,30,42,nan,nan,nan,nan,nan,nan,1,1
SGD,cifar10,3,512,128,1.0,0.0,0.0,30,42,nan,nan,nan,nan,nan,nan,1,1
SGD+WD,cifar10,3,512,128,0.03,0.001,0.0,30,42,0.4797674278450012,86.88,1.3585735160827637,56.79,1.3169607830047607,56.91,0,30
SGD+WD,cifar10,3,512,128,0.05,0.001,0.0,30,42,0.2940182700300217,93.492,1.4654799545288086,56.57,1.3110492820739745,56.57,0,30
SGDM,cifar10,3,512,128,0.02,0.0,0.9,30,42,0.014917947308123111,99.982,2.560206262588501,57.11,1.3576799575805665,57.2,0,30
SGDM+WD,cifar10,3,512,128,0.03,0.001,0.9,30,42,0.07915423562526702,99.452,1.6843282474517822,57.87,1.341786171913147,57.87,0,30
SGD,cifar10,3,512,128,0.3,0.0,0.0,30,42,0.015413010499477386,99.956,2.817005592346191,55.07,1.413806962966919,55.12,0,30
SGDM,cifar10,3,512,128,0.3,0.0,0.9,30,42,nan,nan,nan,nan,nan,nan,1,1
SGDM,cifar10,3,512,128,0.05,0.0,0.9,30,42,0.06798088472604752,98.646,2.816442554473877,54.74,1.5420365022659301,54.95,0,30
SGD,cifar10,3,512,128,0.2,0.0,0.0,30,42,0.017625990867316723,99.966,2.5308073112487794,56.14,1.3826784749984742,56.18,0,30
SGD,cifar10,3,512,128,0.5,0.0,0.0,30,42,0.06904346193790435,98.616,2.820274048233032,53.99,1.6089667575836182,54.12,0,30
SGD,cifar10,3,512,128,0.01,0.0,0.0,30,42,1.0387023942184448,65.052,1.3009302465438843,54.27,1.3009302465438843,54.32,0,30
SGD,cifar10,3,512,128,0.05,0.0,0.0,30,42,0.2145744644498825,95.816,1.5800024106979371,56.53,1.309302653503418,56.53,0,30
SGDM+WD,cifar10,3,512,128,0.003,0.001,0.9,30,42,0.45269038986206056,87.994,1.388424872970581,55.98,1.3087812273025512,55.98,0,30
SGD+WD,cifar10,3,512,128,0.2,0.001,0.0,30,42,0.08725112926721573,99.408,1.6640494146347047,57.73,1.3343997442245483,57.86,0,30
SGD+WD,cifar10,3,512,128,0.5,0.001,0.0,30,42,0.15070995996713638,97.848,1.5806863531112672,57.72,1.426049064064026,57.82,0,30
SGD,cifar10,3,512,128,0.03,0.0,0.0,30,42,0.4204662772274017,88.88,1.4104332304000855,56.24,1.3216750749588013,56.37,0,30
SGDM+WD,cifar10,3,512,128,0.05,0.001,0.9,30,42,0.1444329971909523,97.77,1.602852784538269,57.49,1.4188599531173707,57.64,0,30
SGD,cifar10,3,512,128,0.1,0.0,0.0,30,42,0.05605700303316116,99.598,2.0108652477264406,56.35,1.3150077125549315,56.45,0,30
SGDM,cifar10,3,512,128,0.003,0.0,0.9,30,42,0.3924782013130188,89.89,1.4523266242980957,55.53,1.3116074207305908,55.78,0,30
SGDM+WD,cifar10,3,512,128,0.02,0.001,0.9,30,42,0.07397715750455856,99.52,1.729916992378235,57.43,1.3155945695877076,57.49,0,30
SGDM+WD,cifar10,3,512,128,0.01,0.001,0.9,30,42,0.11574461783885956,98.734,1.6642582107543946,57.31,1.3128368825912475,57.4,0,30
SGDM,cifar10,3,512,128,0.03,0.0,0.9,30,42,0.012778789892196656,99.966,2.8135390167236327,55.88,1.3923734010696411,55.9,0,30
SGD+WD,cifar10,3,512,128,0.1,0.001,0.0,30,42,0.13845019068241118,98.296,1.6044837831497192,57.37,1.3035954753875731,57.53,0,30
SGDM,cifar10,3,512,128,0.01,0.0,0.9,30,42,0.04795446636915207,99.666,2.063865755081177,56.28,1.3178218101501464,56.28,0,30
SGD+WD,cifar10,3,512,128,0.01,0.001,0.0,30,42,1.058906720867157,64.344,1.3029707576751708,54.11,1.3029707576751708,54.17,0,30
SGD+WD,cifar10,3,512,128,0.3,0.001,0.0,30,42,0.0910726436471939,99.29,1.6663444568634034,57.79,1.3938780767440795,57.79,0,30
SGDM,cifar10,3,512,128,0.2,0.0,0.9,30,42,1.3767956414794922,48.96,1.6722434503555297,42.01,1.6722434503555297,42.01,0,30
SGDM+WD,cifar10,3,512,128,0.1,0.001,0.9,30,42,0.49657201018333436,84.15,1.4212082876205445,56.12,1.3663416931152343,56.12,0,30
SGDM+WD,cifar10,3,512,128,0.3,0.001,0.9,30,42,0.9256487266159058,67.64,1.3248544822692871,54.05,1.3248544822692871,54.05,0,30
SGDM+WD,cifar10,3,512,128,0.2,0.001,0.9,30,42,0.7974020566940307,72.438,1.3376727931976318,55.18,1.3376727931976318,55.18,0,30
SGDM,cifar10,3,512,128,0.1,0.0,0.9,30,42,0.7336260987472534,73.514,2.095211605834961,49.54,1.8466718214035034,49.54,0,30
