method,dataset,num_layers,hidden_dim,use_bn,norm_output,batch_size,lr,wd,momentum,epochs,seed,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_loss,best_test_acc,diverged,epochs_run
SGD+WD,mnist,3,512,0,0,128,0.05,0.0001,0.0,20,42,0.025359132194519043,99.48833333333333,0.0634699126958847,97.92,0.06344977581501007,97.96,0,20
SGD+WD,mnist,3,512,0,0,128,0.2,0.01,0.0,20,42,0.10503500121831894,97.68666666666667,0.11127618193626404,97.18,0.1112665723323822,97.29,0,20
SGD+WD,mnist,3,512,0,0,128,0.1,0.003,0.0,20,42,0.040982777889569603,99.26833333333333,0.06656174906492233,98.0,0.06650781313180923,98.0,0,20
SGD+WD,mnist,3,512,0,0,128,0.2,0.003,0.0,20,42,0.03565847758551439,99.445,0.06179999960660935,98.2,0.06179999960660935,98.22,0,20
SGD+WD,mnist,3,512,0,0,128,0.1,0.01,0.0,20,42,0.10840704653660456,97.58666666666667,0.1146672492980957,97.15,0.11461944572925567,97.15,0,20
SGD+WD,mnist,3,512,0,0,128,0.1,0.0003,0.0,20,42,0.008815751186758279,99.93333333333334,0.05617896507978439,98.24,0.056148359298706055,98.26,0,20
SGDM+WD,mnist,3,512,0,0,128,0.05,0.0001,0.9,20,42,0.0006915647443228712,100.0,0.05637081186771393,98.55,0.05608692121505737,98.56,0,20
SGDM+WD,mnist,3,512,0,0,128,0.05,0.0003,0.9,20,42,0.002473212045865754,99.99833333333333,0.048420644426345825,98.49,0.048045992183685306,98.53,0,20
SGDM+WD,mnist,3,512,0,0,128,0.05,0.003,0.9,20,42,0.03392367100417614,99.47333333333333,0.05872461411952972,98.22,0.05872461411952972,98.26,0,20
SGDM+WD,mnist,3,512,0,0,128,0.05,0.01,0.9,20,42,0.10489006248315175,97.67166666666667,0.11047546916007996,97.27,0.11047546916007996,97.37,0,20
SGDM+WD,mnist,3,512,0,0,128,0.1,0.0003,0.9,20,42,0.002399616660239796,99.99833333333333,0.04628893587589264,98.63,0.04628893587589264,98.65,0,20
SGDM+WD,mnist,3,512,0,0,128,0.1,0.003,0.9,20,42,0.035403189105788865,99.41333333333333,0.05815893970727921,98.29,0.05815893970727921,98.31,0,20
SGDM+WD,mnist,3,512,0,0,128,0.1,0.01,0.9,20,42,0.10632179066737493,97.63166666666666,0.11123609127998352,97.33,0.11123609127998352,97.38,0,20
SGDM+WD,mnist,3,512,0,0,128,0.2,0.0001,0.9,20,42,0.0008091018898024534,100.0,0.07374447203874589,98.34,0.07374447203874589,98.34,0,20
SGDM+WD,mnist,3,512,0,0,128,0.1,0.0001,0.9,20,42,0.0005604861209557081,100.0,0.056704460430145265,98.51,0.056704460430145265,98.53,0,20
SGDM+WD,mnist,3,512,0,0,128,0.2,0.0003,0.9,20,42,0.002601546011865139,99.99333333333334,0.05098786087036133,98.63,0.050890755081176756,98.64,0,20
SGDM+WD,mnist,3,512,0,0,128,0.2,0.003,0.9,20,42,0.041065535283088685,99.205,0.06137729583978653,98.17,0.06137729583978653,98.17,0,20
SGDM+WD,mnist,3,512,0,0,128,0.2,0.01,0.9,20,42,0.11212339627345402,97.37166666666667,0.11465822677612304,97.24,0.11465822677612304,97.26,0,20
SGDM+WD,mnist,3,512,0,0,128,0.05,0.00129916,0.9,20,42,0.012732281131048998,99.95,0.04754051104784012,98.54,0.04754051104784012,98.55,0,20
SGDM+WD,mnist,3,512,0,0,128,0.05,0.00389748,0.9,20,42,0.04505691963235537,99.185,0.06565019652843475,98.14,0.06565019652843475,98.15,0,20
SGDM+WD,mnist,3,512,0,0,128,0.1,0.00194874,0.9,20,42,0.021468349295854568,99.78333333333333,0.050602409672737124,98.49,0.050602409672737124,98.53,0,20
SGDM+WD,mnist,3,512,0,0,128,0.1,6.49579e-05,0.9,20,42,0.0003484581568976864,100.0,0.06461997191905976,98.58,0.06461997191905976,98.61,0,20
SGDM+WD,mnist,3,512,0,0,128,0.1,0.00649579,0.9,20,42,0.0747826648235321,98.39,0.08629473481178283,97.76,0.08629473481178283,97.76,0,20
SGDM+WD,mnist,3,512,0,0,128,0.05,0.000129916,0.9,20,42,0.0009169211418523143,100.0,0.05432224930524826,98.54,0.05418754118680954,98.59,0,20
SGDM+WD,mnist,3,512,0,0,128,0.05,0.000433053,0.9,20,42,0.003752155012761553,99.99666666666667,0.047468259406089786,98.51,0.047468259406089786,98.53,0,20
SGDM+WD,mnist,3,512,0,0,128,0.05,0.0129916,0.9,20,42,0.12866103219588598,97.06,0.1303970573425293,96.81,0.1303970573425293,96.84,0,20
SGDM+WD,mnist,3,512,0,0,128,0.1,0.000216526,0.9,20,42,0.0016456584233480195,99.99666666666667,0.047549390721321104,98.67,0.047385947299003604,98.67,0,20
SGDM+WD,mnist,3,512,0,0,128,0.1,0.000649579,0.9,20,42,0.005808181465417147,99.98833333333333,0.044247889041900634,98.63,0.044247889041900634,98.67,0,20
