batch_size,lr,n,lambda_star,product,sum_lr,C,models
32,0.025,1,0.0008725312382407002,2.1813280956017517e-05,1973.2875000000001,1.721754985779954,resnet18
64,0.05,6,0.0009561294517350518,4.780647258675253e-05,1974.5500000000002,1.8879254089235866,"resnet18,resnet50,vgg16"
128,0.1,6,0.00121152765862851,0.00012115276586285097,1974.5500000000002,2.3922219383450796,"resnet18,resnet50,vgg16"
256,0.2,6,0.000809635998368975,0.00016192719967379483,1979.6000000000001,1.6027554223713478,"resnet18,resnet50,vgg16"
512,0.4,6,0.0008654951136766588,0.00034619804547066384,1979.6000000000001,1.7133341270344022,"resnet18,resnet50,vgg16"
