momentum,lr,wd_argmax,wd_interp,loss_min,S,C,interior,n_points
0.0,0.05,0.0001,0.0001,0.06344977581501,246.22500000000002,0.024622500000000002,False,5
0.0,0.1,0.001,0.0005849234139715546,0.0555136646747589,492.45000000000005,0.2880455352102921,True,5
0.0,0.2,0.001,0.0006837573762760938,0.0512029269218444,984.9000000000001,0.6734326398943249,True,5
0.9,0.05,0.001,0.0005957278634492075,0.0471799545764923,246.22500000000002,0.14668309317778114,True,5
0.9,0.1,0.001,0.0006474587138689342,0.0440049628734588,492.45000000000005,0.3188410436447567,True,5
0.9,0.2,0.001,0.0007106190019934224,0.0468945545554161,984.9000000000001,0.6998886550633218,True,5
