lr,epochs,batch_size,factor,acc,loss
0.1,25,128,5.022270778637804,38.89,35.849999999999994
0.1,25,128,16.74520616939134,2.24,72.5
0.1,25,128,0.1674520616939134,72.4,2.339999999999989
0.1,25,128,0.5581735389797114,74.42,0.3199999999999932
0.1,25,128,0.10001505817955662,71.95,2.789999999999992
0.1,25,128,0.33335483677230876,73.14,1.5999999999999943
0.1,25,128,3.000021387993499,59.63,15.109999999999992
0.1,25,128,10.00150581795566,5.0,69.74
0.1,100,128,0.1626133548956826,72.42,5.079999999999998
0.1,100,128,16.26133548956826,44.97,32.53
0.1,100,128,4.878233469575428,74.24,3.260000000000005
0.1,100,128,0.5419887905539252,76.17,1.3299999999999983
0.1,100,128,0.1000054578992468,73.01,4.489999999999995
0.1,100,128,10.00054578992468,63.91,13.590000000000003
0.1,100,128,0.3333515263308226,74.62,2.8799999999999955
0.1,100,128,3.000832446157606,76.19,1.3100000000000023
