momentum,hidden_dim,C,n_lr,n_interior
0.0,128,0.4422955931138136,2,2
0.0,256,0.37381991234296164,2,2
0.0,512,0.44043077229735067,2,2
0.9,128,0.4658268941188261,3,3
0.9,256,0.35280871458891555,3,3
0.9,512,0.31988539487788636,3,3
