wd,epoch,top_eig,two_over_L,lr,momentum,model
0.0,0,0.25594645738601685,7.814134332727304,0.1,0.0,resnet18
0.0,5,547.6429443359375,0.0036520145483206505,0.1,0.0,resnet18
0.0,10,449.2620849609375,0.004451744464868199,0.1,0.0,resnet18
0.0,15,417.4477233886719,0.004791019061655933,0.1,0.0,resnet18
0.001,0,0.25594645738601685,7.814134332727304,0.1,0.0,resnet18
0.001,5,660.5256958007812,0.00302789128827959,0.1,0.0,resnet18
0.001,10,587.3936157226562,0.003404871872057118,0.1,0.0,resnet18
0.001,15,468.883056640625,0.004265455899236935,0.1,0.0,resnet18
0.01,0,0.25594645738601685,7.814134332727304,0.1,0.0,resnet18
0.01,5,1403.1724853515625,0.0014253415177955854,0.1,0.0,resnet18
0.01,10,1621.095458984375,0.0012337336391362239,0.1,0.0,resnet18
0.01,15,1028.8651123046875,0.0019438894137638143,0.1,0.0,resnet18
