wd,mean_gap_pp,max_gap_pp
0.0005,1.4443749999999973,3.769999999999996
0.0002,2.13875,4.125
0.0001,2.919999999999998,4.365000000000009
0.001,2.0837500000000038,8.5
0.002,7.266874999999999,37.78999999999999
0.005,21.903750000000002,73.475
0.01,32.8375,74.315
0.02,42.798125,74.625
0.05,66.433125,75.81
