hidden_dim,momentum,lr,wd_argmin,wd_interp,metric_min,acc_max,sum_lr,C,interior,n_points
256,0.9,0.03,0.01,0.01,1.2342655401229858,58.06,181.815,1.81815,False,5
256,0.9,0.1,0.003,0.004056087173421661,1.2772317504882813,56.22,606.0500000000001,2.458191631452198,True,5
256,0.9,0.3,0.003,0.0017541643032936705,1.3197481874465942,54.16,1818.1499999999999,3.1893338280333867,True,5
512,0.9,0.03,0.01,0.01,1.219814084815979,58.93,181.815,1.81815,False,5
512,0.9,0.1,0.003,0.003967298623105811,1.255805303955078,56.67,606.0500000000001,2.404381330533277,True,5
512,0.9,0.3,0.001,0.001632781504110093,1.3248544822692871,54.05,1818.1499999999999,2.968641691697765,True,5
