momentum,wd,eta_max,bracket_lo,bracket_hi,tightness,product
0.0,0.0,11.38788610517628,10.905077,11.892071,1.09050775157296,0.0
0.0,0.001,14.142135623730951,10.0,20.0,2.0,0.01414213562373095
0.0,0.01,14.142135623730951,10.0,20.0,2.0,0.1414213562373095
0.0,0.05,14.142135623730951,10.0,20.0,2.0,0.7071067811865476
0.0,0.1,14.142135623730951,10.0,20.0,2.0,1.4142135623730951
0.0,0.5,1.5491933384829668,0.8,3.0,3.75,0.7745966692414834
0.0,1.0,1.5491933384829668,0.8,3.0,3.75,1.5491933384829668
0.9,0.0,2.155824436265625,1.549193,3.0,1.9364920962075092,0.0
0.9,0.001,2.155824436265625,1.549193,3.0,1.9364920962075092,0.002155824436265625
0.9,0.01,1.5491933384829668,0.8,3.0,3.75,0.01549193338482967
0.9,0.05,1.5491933384829668,0.8,3.0,3.75,0.07745966692414835
0.9,0.1,1.5491933384829668,0.8,3.0,3.75,0.1549193338482967
0.9,0.5,1.5491933384829668,0.8,3.0,3.75,0.7745966692414834
0.9,1.0,1.5491933384829668,0.8,3.0,3.75,1.5491933384829668
