hidden_dim,momentum,lr,rule,lambda_rule,lambda_oracle,ratio,loss,acc,oracle_loss,oracle_acc,gap_loss,gap_acc,diverged,n_grid,C_pred,sum_lr
1024,0.0,0.05,default,0.0005,0.0001,5.0,0.0615475417375564,98.06,0.0607062270998954,98.06,0.0008413146376610031,0.0,0,9,0.415830118671947,246.22500000000002
1024,0.0,0.05,wang,0.0021322,0.0001,21.322,0.069622909617424,97.87,0.0607062270998954,98.06,0.008916682517528599,0.18999999999999773,0,9,0.415830118671947,246.22500000000002
1024,0.0,0.05,kosson,0.00116985,0.0001,11.6985,0.0644060418128967,98.02,0.0607062270998954,98.06,0.0036998147130013065,0.04000000000000625,0,9,0.415830118671947,246.22500000000002
1024,0.0,0.05,ours,0.00168882,0.0001,16.888199999999998,0.0671587619304657,97.94,0.0607062270998954,98.06,0.006452534830570303,0.12000000000000455,0,9,0.415830118671947,246.22500000000002
1024,0.0,0.1,default,0.0005,0.0005,1.0,0.0540416650295257,98.3,0.0540416650295257,98.3,0.0,0.0,0,9,0.415830118671947,492.45000000000005
1024,0.0,0.1,wang,0.0010661,0.0005,2.1321999999999997,0.05484174400568,98.3,0.0540416650295257,98.3,0.0008000789761543059,0.0,0,9,0.415830118671947,492.45000000000005
1024,0.0,0.1,kosson,0.000584923,0.0005,1.169846,0.0541140891551971,98.28,0.0540416650295257,98.3,7.242412567140533e-05,0.01999999999999602,0,9,0.415830118671947,492.45000000000005
1024,0.0,0.1,ours,0.000844411,0.0005,1.688822,0.0542787585139274,98.28,0.0540416650295257,98.3,0.00023709348440170003,0.01999999999999602,0,9,0.415830118671947,492.45000000000005
1024,0.0,0.2,default,0.0005,0.0005,1.0,0.0497379274845123,98.44,0.0497379274845123,98.47,0.0,0.030000000000001137,0,9,0.415830118671947,984.9000000000001
1024,0.0,0.2,wang,0.000533049,0.0005,1.066098,0.0500462231874465,98.4,0.0497379274845123,98.47,0.00030829570293419706,0.06999999999999318,0,9,0.415830118671947,984.9000000000001
1024,0.0,0.2,kosson,0.000292462,0.0005,0.584924,0.0514579471588134,98.45,0.0497379274845123,98.47,0.0017200196743010973,0.01999999999999602,0,9,0.415830118671947,984.9000000000001
1024,0.0,0.2,ours,0.000422205,0.0005,0.84441,0.0500206359148025,98.43,0.0497379274845123,98.47,0.0002827084302901989,0.03999999999999204,0,9,0.415830118671947,984.9000000000001
2048,0.0,0.05,default,0.0005,0.0001,5.0,0.060658995950222,98.13,0.0598772446036338,98.15,0.0007817513465881998,0.020000000000010232,0,9,0.4149525745939416,246.22500000000002
2048,0.0,0.05,wang,0.0021322,0.0001,21.322,0.0686859209299087,97.91,0.0598772446036338,98.15,0.008808676326274904,0.2400000000000091,0,9,0.4149525745939416,246.22500000000002
2048,0.0,0.05,kosson,0.00116985,0.0001,11.6985,0.063403207886219,98.06,0.0598772446036338,98.15,0.0035259632825852052,0.09000000000000341,0,9,0.4149525745939416,246.22500000000002
2048,0.0,0.05,ours,0.00168526,0.0001,16.8526,0.0660765153765678,97.96,0.0598772446036338,98.15,0.006199270772933994,0.19000000000001194,0,9,0.4149525745939416,246.22500000000002
2048,0.0,0.1,default,0.0005,0.000584923,0.8548133685972342,0.052954393684864,98.36,0.0529053746461868,98.37,4.901903867720464e-05,0.010000000000005116,0,9,0.4149525745939416,492.45000000000005
2048,0.0,0.1,wang,0.0010661,0.000584923,1.8226330645230227,0.0539134657263755,98.3,0.0529053746461868,98.37,0.0010080910801887055,0.07000000000000739,0,9,0.4149525745939416,492.45000000000005
2048,0.0,0.1,kosson,0.000584923,0.000584923,1.0,0.0529053746461868,98.35,0.0529053746461868,98.37,0.0,0.020000000000010232,0,9,0.4149525745939416,492.45000000000005
2048,0.0,0.1,ours,0.000842629,0.000584923,1.4405810679354376,0.0532597449898719,98.31,0.0529053746461868,98.37,0.0003543703436851009,0.060000000000002274,0,9,0.4149525745939416,492.45000000000005
2048,0.0,0.2,default,0.0005,0.000533049,0.9380000712880056,0.0489467345356941,98.43,0.0486809496641159,98.46,0.0002657848715781966,0.029999999999986926,0,9,0.4149525745939416,984.9000000000001
2048,0.0,0.2,wang,0.000533049,0.000533049,1.0,0.0486809496641159,98.44,0.0486809496641159,98.46,0.0,0.01999999999999602,0,9,0.4149525745939416,984.9000000000001
2048,0.0,0.2,kosson,0.000292462,0.000533049,0.5486587536980654,0.0499684328079223,98.46,0.0486809496641159,98.46,0.0012874831438063963,0.0,0,9,0.4149525745939416,984.9000000000001
2048,0.0,0.2,ours,0.000421314,0.000533049,0.7903851240692695,0.0491248049974441,98.44,0.0486809496641159,98.46,0.0004438553333281983,0.01999999999999602,0,9,0.4149525745939416,984.9000000000001
1024,0.9,0.05,default,0.0005,0.0005,1.0,0.0440910893082618,98.61,0.0440910893082618,98.66,0.0,0.04999999999999716,0,9,0.2572503324468361,246.22500000000002
1024,0.9,0.05,wang,0.0021322,0.0005,4.264399999999999,0.0511086855053901,98.44,0.0440910893082618,98.66,0.007017596197128301,0.21999999999999886,0,9,0.2572503324468361,246.22500000000002
1024,0.9,0.05,kosson,0.00129492,0.0005,2.5898399999999997,0.046388161933422,98.56,0.0440910893082618,98.66,0.0022970726251601986,0.09999999999999432,0,9,0.2572503324468361,246.22500000000002
1024,0.9,0.05,ours,0.00104478,0.0005,2.0895599999999996,0.044924661207199,98.66,0.0440910893082618,98.66,0.0008335718989372007,0.0,0,9,0.2572503324468361,246.22500000000002
1024,0.9,0.1,default,0.0005,0.000522389,0.9571411342888155,0.0426674774289131,98.77,0.0410739550590515,98.78,0.0015935223698615997,0.010000000000005116,0,9,0.2572503324468361,492.45000000000005
1024,0.9,0.1,wang,0.0010661,0.000522389,2.0408163265306123,0.0435128366827964,98.66,0.0410739550590515,98.78,0.0024388816237449,0.12000000000000455,0,9,0.2572503324468361,492.45000000000005
1024,0.9,0.1,kosson,0.000647459,0.000522389,1.2394192833310043,0.0421009921193122,98.73,0.0410739550590515,98.78,0.0010270370602607007,0.04999999999999716,0,9,0.2572503324468361,492.45000000000005
1024,0.9,0.1,ours,0.000522389,0.000522389,1.0,0.0410739550590515,98.78,0.0410739550590515,98.78,0.0,0.0,0,9,0.2572503324468361,492.45000000000005
1024,0.9,0.2,default,0.0005,0.000533049,0.9380000712880056,0.0415735379815101,98.81,0.0411475595831871,98.81,0.00042597839832300005,0.0,0,9,0.2572503324468361,984.9000000000001
