setting,phase,wd_sched,lambda0,budget_c,best_acc,diverged,exp,src
mlp/mnist,SGD,fixed,0.0075,3.7500000000000027,97.73,0,e12_fixed,e12
mlp/mnist,SGD,fixed,0.01,5.000000000000003,97.38,0,e12_fixed,e12
mlp/mnist,SGD,fixed,0.02,10.000000000000005,95.82,0,e12_fixed,e12
mlp/mnist,SGD,iso_product,0.001162,1.0001969458996673,98.32,0,e12_matched,e12
mlp/mnist,SGD,iso_product,0.002324,2.0003938917993347,98.18,0,e12_matched,e12
mlp/mnist,SGD,iso_product,0.003485,2.9997300830123423,97.97,0,e12_matched,e12
mlp/mnist,SGD,iso_product,0.004647,3.9999270289119973,97.78,0,e12_matched,e12
mlp/mnist,SGD,iso_product,0.006971,6.000320920711331,97.45,0,e12_matched,e12
mlp/mnist,SGD,iso_product,0.01046,9.003494022470324,96.93,0,e12_matched,e12
mlp/mnist,SGD,iso_product,0.01743,15.002954188494966,95.68,0,e12_matched,e12
mlp/mnist,SGD,linear,0.002834,0.9998394576975581,98.47,0,e12_matched,e12
mlp/mnist,SGD,linear,0.005669,2.0000317168974786,98.36,0,e12_matched,e12
mlp/mnist,SGD,linear,0.008503,2.9998711745950386,98.29,0,e12_matched,e12
mlp/mnist,SGD,linear,0.01134,4.000769036799683,98.19,0,e12_matched,e12
mlp/mnist,SGD,linear,0.01701,6.001153555199528,97.97,0,e12_matched,e12
mlp/mnist,SGD,linear,0.02551,8.99996632528747,97.69,0,e12_matched,e12
mlp/mnist,SGD,linear,0.04252,15.001119880487005,96.87,0,e12_matched,e12
mlp/mnist,SGD,linear_up,0.006794,1.0000665929438224,98.34,0,e12_matched,e12
mlp/mnist,SGD,linear_up,0.01359,2.000427582882919,98.17,0,e12_matched,e12
mlp/mnist,SGD,linear_up,0.02038,2.9999053818361947,98.12,0,e12_matched,e12
mlp/mnist,SGD,linear_up,0.02717,3.999383180789473,98.05,0,e12_matched,e12
mlp/mnist,SGD,linear_up,0.04076,5.999810763672389,97.88,0,e12_matched,e12
mlp/mnist,SGD,linear_up,0.06114,8.999716145508588,97.67,0,e12_matched,e12
mlp/mnist,SGD,linear_up,0.1019,14.99952690918098,97.4,0,e12_matched,e12
mlp/mnist,SGDM,fixed,0.0001,0.3333333333333333,98.72,0,e12_fixed,e12
mlp/mnist,SGDM,fixed,0.0003,1.0,98.76,0,e12_fixed,e12
mlp/mnist,SGDM,fixed,0.0006,2.0,98.7,0,e12_fixed,e12
mlp/mnist,SGDM,fixed,0.001,3.3333333333333313,98.62,0,e12_fixed,e12
mlp/mnist,SGDM,fixed,0.002,6.6666666666666625,98.58,0,e12_fixed,e12
mlp/mnist,SGDM,fixed,0.003,9.999999999999995,98.44,0,e12_fixed,e12
mlp/mnist,SGDM,fixed,0.005,16.666666666666664,98.02,0,e12_fixed,e12
mlp/mnist,SGDM,iso_product,5.809e-05,0.33334159832077814,98.67,0,e12_matched,e12
mlp/mnist,SGDM,iso_product,0.0001743,1.000196945899665,98.66,0,e12_matched,e12
